RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,31-12-2023,31-03-2024,30-06-2024
84629,296,60628,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1261.064466,1342.466941,1336.133811
84611,307,60609,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1354.012185,1369.273118,1350.213155
84460,354,60402,zip,IL,IL,Berwyn,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1384.035386,1369.530497,1436.405085
84648,357,60651,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1405.054799,1436.697407,1494.275385
84621,387,60619,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1019.068438,1067.09488,1077.984934
84638,402,60638,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,1694.924413,1726.915467
84541,483,60505,zip,IL,IL,Aurora,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,,,1688.445986
84504,501,60453,zip,IL,IL,Oak Lawn,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1544.413411,1544.696198,1590.674261
84285,523,60016,zip,IL,IL,Des Plaines,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2065.338504,2109.189187,2107.489331
84317,560,60056,zip,IL,IL,Mount Prospect,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1662.728392,1655.687258,1714.171046
84631,623,60630,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1649.618408,1684.106169,1753.979712
84329,625,60073,zip,IL,IL,Round Lake,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,1831.142542,1956.498688,1953.258074
84624,717,60622,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2182.775281,2212.694975,2286.352946
84466,736,60411,zip,IL,IL,Chicago Heights,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,1463.82103,1503.899887
84491,747,60440,zip,IL,IL,Bolingbrook,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,2283.727659,2164.42111,2341.991474
84273,751,60004,zip,IL,IL,Arlington Heights,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1936.105596,1963.131948,2052.049172
84399,796,60148,zip,IL,IL,Lombard,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,1854.971498,1906.752971,1958.468148
84373,830,60120,zip,IL,IL,Elgin,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1610.061866,1649.397629,1645.332549
85145,835,61761,zip,IL,IL,Normal,"Bloomington, IL",McLean County,1533.550891,1480.014894,1566.116446
84628,844,60626,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1515.113834,1531.570669,1559.63388
84615,867,60613,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1868.424896,1938.590793,1998.100846
84542,876,60506,zip,IL,IL,Aurora,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,,,
84647,895,60649,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1083.758979,1104.490556,1138.78652
84618,949,60616,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1897.785939,1945.73782,1953.34857
84486,952,60435,zip,IL,IL,Joliet,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,1386.121005,1509.889613,1529.204204
84642,999,60643,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1858.441785,1911.039109,1781.656116
84283,1084,60014,zip,IL,IL,Crystal Lake,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,,,1747.481864
84644,1107,60645,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1538.253259,1538.850987,1612.213807
84378,1113,60126,zip,IL,IL,Elmhurst,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2249.91925,2215.51838,2315.114914
84643,1121,60644,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1047.875696,1054.201263,1073.982569
84637,1127,60637,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1507.116417,1536.337054,1533.588374
84599,1134,60586,zip,IL,IL,Plainfield,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,,2618.816371,2669.665168
84376,1179,60123,zip,IL,IL,Elgin,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,1485.289256,1598.04383,1580.004625
84655,1318,60659,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1629.593661,1580.113301,1675.460352
84591,1382,60564,zip,IL,IL,Naperville,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,2421.872066,2428.866344,2472.105031
