id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,neighbourhood_normalized,zip_code
966894702821517886,Belmont Heights SFH Oasis,169297663,William,,Dunning,41.93458,-87.81439,Entire home/apt,278.0,1,17,2024-05-13,1.75,19,326,17,R23000106428,dunning,60634
968139779528332197,French Country Corner,272738333,Siow Mei,,Rogers Park,42.01401648916087,-87.6788944682,Entire home/apt,99.0,32,0,,,2,186,0,,rogers park,60626
968393021603989682,Flexhome Avondale 3BR Private Home S1,497660633,Flexhome,,Avondale,41.93972,-87.71037,Entire home/apt,194.0,32,2,2024-03-04,0.25,20,24,2,,avondale,95824
969159516611516032,Dreaming in the clouds,457996544,Nicholas,,Englewood,41.79381,-87.64529,Private room,43.0,2,28,2024-06-03,3.07,6,72,28,R21000074252,englewood,60621
969770340596412895,3 Bed Apartment in Chicago by the lake,50341495,Yahya,,Rogers Park,42.018549,-87.666282,Entire home/apt,195.0,2,11,2024-06-13,3.37,1,152,11,R24000112965,rogers park,60626
970339745183836934,Have fun in a  comfortable home,531889983,Martianna,,Englewood,41.77576,-87.63377,Entire home/apt,265.0,32,0,,,1,90,0,,englewood,60621
970364880152686433,Urban Oasis: Heart of Chicago,184488000,Eric And Erika,,Lower West Side,41.84867265359578,-87.68745596502212,Entire home/apt,165.0,28,1,2024-03-31,0.36,3,197,1,R23000111103,lower west side,60608
972011959303805892,Chic Comfort by UChicago Campus!,106947291,Rebecca,,Woodlawn,41.7850366,-87.6105863,Private room,54.0,1,22,2024-05-28,2.78,1,32,22,R23000109033,woodlawn,97211
972041880181560435,Fully Equipped Cozy 4/5 BR,535224767,Jacob,,Roseland,41.72402185148999,-87.62124432820019,Entire home/apt,246.0,1,4,2024-05-27,1.35,1,217,4,R23000111558,roseland,60628
973831720936702081,Sophisticated Twnhm in Prestigious S. Lincoln Park,111062630,Kyriako,,Lincoln Park,41.9121347,-87.6500129,Entire home/apt,334.0,2,29,2024-06-16,3.07,22,240,29,R19000037446,lincoln park,80204
976216845304671824,Cozy Lincoln Park 1 Bedroom,12900621,Steve,,Lincoln Park,41.93176281203523,-87.64316793923754,Entire home/apt,100.0,32,1,2024-03-31,0.36,1,171,1,,lincoln park,80204
976753910696675016,Spacious 3BR in Andersonville - Just off Clark St,496426624,Jose Diego,,Edgewater,41.9796322,-87.66741780000001,Entire home/apt,172.0,2,30,2024-06-09,4.27,1,249,30,R23000108336,edgewater,78248
978198160675635304,"Urban Oasis: 3BR Skyline view, Free Parking",27275184,Ditron,,Lincoln Park,41.9115834,-87.650014,Entire home/apt,451.0,1,17,2024-06-19,1.83,3,313,17,R23000107956,lincoln park,80204
978253016018696339,4BD2BA 5 minutes from Chicago U!,508660064,Yannique,,Woodlawn,41.7742,-87.59669,Entire home/apt,69.0,32,0,,,1,121,0,,woodlawn,97211
978362475633211277,Historical 5 Br villa/patio/garage/fireplace/grill,243035563,Studebecker,,Lincoln Park,41.91637758944739,-87.63861442384989,Entire home/apt,572.0,2,9,2024-05-21,1.08,39,1,9,2792126,lincoln park,80204
978463124281550987,Cozy & Cute 1 Bedroom Oasis,425799267,Anna,,Hyde Park,41.79792,-87.58301,Entire home/apt,80.0,32,3,2024-02-17,0.37,2,189,3,,hyde park,63107
978923664586785724,Cozy home Minutes Ohare/Chi Dwtn,83985556,Sebastian,,Dunning,41.95036,-87.82821,Entire home/apt,286.0,1,18,2024-06-09,2.07,1,140,18,R23000097373,dunning,60634
979262522860648784,Beautiful room in Lincoln Park,46809343,Larissa,,Lincoln Park,41.93021,-87.65682,Private room,94.0,2,5,2024-06-01,0.59,2,17,5,R24000114558,lincoln park,80204
979662816578185391,The Luxury Retreat,536954762,Jesse,,West Garfield Park,41.87546995140232,-87.72333260625601,Private room,113.0,1,3,2024-06-10,0.94,2,84,3,R23000109521,west garfield park,60624
980667439650670827,*BRAND NEW* Lincoln Park GEM,532482756,Khaled,,Lincoln Park,41.928556609158335,-87.65021088820274,Entire home/apt,163.0,2,64,2024-06-05,7.06,2,167,64,R23000108030,lincoln park,80204
980681959308109016,Stylish/Spacious 2 Story - 4 BD/3BD Lincoln Park!,434265398,Deepa,,Lincoln Park,41.92057208266709,-87.6660044122589,Entire home/apt,372.0,3,0,,,1,236,0,R23000101356,lincoln park,80204
980685002123823611,Roomy & peaceful | Perfect work from home,316480624,Joseph,,Dunning,41.93914607948825,-87.78692493436968,Entire home/apt,80.0,1,3,2023-11-27,0.36,16,225,3,R22000084547,dunning,60634
981299298711736378,The Cat's Keep,535676796,Maydi,,Edgewater,41.9815943,-87.6575833,Entire home/apt,103.0,32,0,,,1,139,0,,edgewater,78248
981379900691214951,Modern 3 bedroom Home!,479706697,Armando,,Rogers Park,42.0056394,-87.67018399999999,Entire home/apt,119.0,32,6,2024-06-05,0.7,4,141,6,R22000079785,rogers park,60626
981737896094261278,A serene haven perfect for the whole family!,537385706,Kenya,,Roseland,41.72205,-87.62235,Entire home/apt,159.0,1,8,2024-06-16,1.5,1,239,8,R23000112402,roseland,60628
982799645715267248,"Lovely 6 Bd Retreat w/ Game Room, Back Deck & Bar",236742003,Evan,,Jefferson Park,41.98695,-87.77388,Entire home/apt,661.0,3,30,2024-06-16,3.83,1,123,30,R23000107765,jefferson park,90018
982838991729286923,1st Floor Bedroom in Modern Home,2672672,Ebony,,Woodlawn,41.78348,-87.60984,Private room,65.0,2,7,2024-06-17,0.81,3,249,7,R23000108645,woodlawn,97211
983470790158014465,Bright 3BR/1BA FREE Park/Laundry Minutes from DT,23268494,John,,Lower West Side,41.85297,-87.68436,Entire home/apt,220.0,32,5,2024-05-19,0.57,2,302,5,R23000106109,lower west side,60608
983481433519177346,3BR Inviting Apartment w/ In-Unit Washer & Dryer,435770634,Nico And Dyan,,Rogers Park,42.011097626357895,-87.66418361530455,Entire home/apt,188.0,1,12,2024-05-19,1.7,10,164,12,R23000095915,rogers park,60626
983869501052977635,"Blueground | Edgewater, gym, deck & lounge, nr L",107434423,Blueground,,Edgewater,41.9839704,-87.655453,Entire home/apt,137.0,32,0,,,549,328,0,,edgewater,78248
984047990844413639,Bedroom elevated,533341295,Audriana,,Auburn Gresham,41.74467348472993,-87.64763087476372,Private room,196.0,32,0,,,1,269,0,R98754321066,auburn gresham,60620
984705936566713507,Renovated Retreat near U of Chicago,103138081,Carmen,,Woodlawn,41.77897,-87.60938,Entire home/apt,109.0,1,9,2024-06-03,1.05,1,227,9,R23000108801,woodlawn,97211
985467234089211385,Spacious and Homey 2BR Apt in Chicago,259688317,Vincent & Sofia,,Avondale,41.94187043692244,-87.72436360151997,Entire home/apt,132.0,1,14,2024-06-02,1.83,9,168,14,R18000036950,avondale,95824
986466892705946127,Gorgeous Chicago Unit SuperHost-DNC Stay Here!,16083267,Jefferson,,Rogers Park,42.0115346,-87.68122232329999,Entire home/apt,291.0,1,9,2024-06-16,2.84,1,143,9,R23000110919,rogers park,60626
987666275935187783,2BR Roomy & Stylish Apartment in Rogers Park,436809861,Inca And Chris,,Rogers Park,42.0153,-87.66349,Entire home/apt,134.0,1,11,2024-06-05,1.48,8,114,11,R23000110045,rogers park,60626
988351517676781590,Quaint Airbnb In Perfect Location of Chi w Parking,111062630,Kyriako,,Lincoln Park,41.9207185,-87.6387235,Entire home/apt,148.0,2,34,2024-06-14,3.95,22,229,34,R24000112804,lincoln park,80204
988571332796609198,Beautiful Contemporary Home,538934511,Nicole,,Englewood,41.774620108187584,-87.6315987772461,Entire home/apt,100.0,4,7,2024-06-10,2.36,1,46,7,R23000108362,englewood,60621
989773092885458658,Cozy 1BR Near UChicago Hyde Park,228138122,Shaena,,Woodlawn,41.77955300000001,-87.60996089999999,Entire home/apt,118.0,3,5,2024-06-03,0.87,2,187,5,R22000086005,woodlawn,97211
989917421459506841,Luxury Apartment with Private Terrace - Lincoln Pa,464407683,Hubbard Holdings,,Lincoln Park,41.91278,-87.65374,Entire home/apt,529.0,2,22,2024-06-09,2.87,20,30,22,R23000109167,lincoln park,80204
990084468122202428,"Lower Level Oasis - Bed, Bath & Living Rooms",2672672,Ebony,,Woodlawn,41.782341790707584,-87.60781526853825,Private room,65.0,32,3,2023-10-29,0.35,3,257,3,R23000108654,woodlawn,97211
990566849791672765,Quiet block. Free parking.,116130012,Alexis,,West Englewood,41.78684,-87.66199,Private room,26.0,32,0,,,6,176,0,,west englewood,60636
992586867429228073,Large bedroom Chicago Southside,536176286,Teasia,,Burnside,41.728403954132986,-87.59848944004379,Private room,180.0,32,0,,,1,269,0,R19971995181,burnside,60619
992815722104236376,Cute room close to the Lake,285452381,Bella And Ben,,Edgewater,41.98684855021581,-87.66484743281191,Private room,,32,5,2024-04-08,0.57,5,47,5,2845517,edgewater,78248
993104010253661524,Chic-New/EZ parking/near Wrigley,316480624,Joseph,,Avondale,41.9417,-87.70236,Entire home/apt,98.0,1,11,2024-06-03,1.39,16,218,11,R21000060516,avondale,95824
993392593295349328,Stylish & Spacious 3BR Home | Luxury Living,4645416,Ivan,,Avondale,41.93638,-87.71858,Entire home/apt,189.0,1,32,2024-06-16,3.95,4,30,32,R23000109623,avondale,95824
993548111492821773,Fabulous Lincoln Park Apartment,540036186,Maryam,,Lincoln Park,41.92374,-87.66513,Entire home/apt,,2,0,,,1,0,0,R23000111006,lincoln park,80204
